kind,etag,id,publishedAt,channelId,title,description,thumbnails,channelTitle,tags,categoryId,liveBroadcastContent,defaultLanguage,videoDuration,videoDimension,videoDefinition,videoCaption,videoLicensedContent,videoProjection,viewCount,likeCount,favouriteCount,commentCount
youtube#video,BvEultO-wk1KJluvKnftmzu4D5w,IOQ6oKrjvFg,2023-02-27T13:00:17Z,UCDGYGaURhUXglLN5_yWMxUw,Greed always loses 😂,"حبايب قلبي فولو لحسابي الانستغرام الجديد 👇 My love, follow my new Instagram account
https://www.instagram.com/abo.raad.family.for.songs/

صفحتي الجديدة عالفيس بوك تابعوها 👇 My new page on facebook follow it
https://www.facebook.com/profile.php?id=100086679290986

💪Joining my channel means you are the hero
https://www.youtube.com/channel/UCDGYGaURhUXglLN5_yWMxUw/join


#ابو_رعد #تيك_توك #shorts","{'default': {'url': 'https://i.ytimg.com/vi/IOQ6oKrjvFg/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/IOQ6oKrjvFg/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/IOQ6oKrjvFg/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/IOQ6oKrjvFg/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/IOQ6oKrjvFg/maxresdefault.jpg', 'width': 1280, 'height': 720}}",عائلة ابو رعد Abo Raad family,"['ضحك', 'مضحك', 'ابو رعد', 'مقاطع ابو رعد', 'عائلة ابو رعد Abo Raad family', 'jcb', 'dinosaurs', 'gadi', 'cow videos', 'car', 'dinosaur', 'fish', 'gadi wala', 'fish video', 'game game', 'bike', 'car games', 'car video', 'car game', 'cars for toddlers', 'spider-man toys', 'hulk vs spiderman', 'spiderman toys', 'spider-man car', 'spider-man bike', 'spiderman dinosaur', 'spider man dance', 'spiderman cars', 'spiderman dancing', 'spiderman car', 'spider-man gadi', 'spiderman motorcycle', 'spiderman and hulk', 'spider man bike', 'spiderman balloon']",23,none,en-IN,PT23S,2d,hd,false,True,rectangular,450279224,6795011.0,0,0.0
youtube#video,gJr-tZViUtn-_vz3o91LIaGgI68,gutZtqv1ghU,2023-05-14T10:45:30Z,UCXKGJvcopRXJmCAchgZWVJw,"Lucky me, I didn’t buy the scam",,"{'default': {'url': 'https://i.ytimg.com/vi/gutZtqv1ghU/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/gutZtqv1ghU/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/gutZtqv1ghU/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/gutZtqv1ghU/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/gutZtqv1ghU/maxresdefault.jpg', 'width': 1280, 'height': 720}}",GertiEinar,,23,none,en-US,PT20S,2d,hd,false,True,rectangular,349923294,9490930.0,0,25494.0
youtube#video,CNjVtR2IUU8ZRWx_z_gQloRnivk,xLAbGSwpInw,2023-05-29T15:00:14Z,UCoIPNS4wYsQV4_XV2wSaxyw,عم تلحس الاكلات و تطعمنا,"I hope you subscribe to the channel and activate the bell button to receive all new updates

We love you very much

اتمنى ان تشترك في القناة وتفعل زر الجرس ليصلك كل جديد

منحبكم جدا","{'default': {'url': 'https://i.ytimg.com/vi/xLAbGSwpInw/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/xLAbGSwpInw/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/xLAbGSwpInw/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/xLAbGSwpInw/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/xLAbGSwpInw/maxresdefault.jpg', 'width': 1280, 'height': 720}}",طارق الحلبي tarik alhalapi,,24,none,none,PT57S,2d,hd,false,True,rectangular,305352620,6012321.0,0,5806.0
youtube#video,nUf4NFYlA3tsKd066Ne7210WYVA,cb12KmMMDJA,2023-10-01T19:46:03Z,UCj6PcyLvpnIRT_2W_mwa9Aw,TN EN VIVO I SEGUÍ LA TRANSMISIÓN DE TODO NOTICIAS EN VIVO,"SEGUÍ LA TRANSMISIÓN EN VIVO DE TODO NOTICIAS
Mirá la programación de Todo Noticias durante las 24hs del día en la Argentina y en el mundo. 

★ Suscribite a nuestro canal → https://bit.ly/365OTiS

★ Informate sobre las noticias desde nuestra web → https://tn.com.ar/

★ Y no te olvides de seguirnos en las redes!
Facebook → https://www.facebook.com/todonoticias/
Instagram → https://www.instagram.com/todonoticias/
Twitter → https://www.twitter.com/todonoticias

#TN #TodoNoticias #Noticias","{'default': {'url': 'https://i.ytimg.com/vi/cb12KmMMDJA/default_live.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/cb12KmMMDJA/mqdefault_live.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/cb12KmMMDJA/hqdefault_live.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/cb12KmMMDJA/sddefault_live.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/cb12KmMMDJA/maxresdefault_live.jpg', 'width': 1280, 'height': 720}}",Todo Noticias,"['noticia ultimo momento', 'breaking news', 'TN', 'todo noticias', 'ultimo momento', 'urgente', 'ultima noticia', 'noticias', 'programas de tn', 'tn en vivo', 'noticias en vivo', 'ver tn en vivo', 'tn noticias', 'news', 'breaking', 'tn en vivo todo noticias', 'live news', 'tn noticias en vivo', 'tn todo noticias', 'en vivo']",25,live,es-419,P0D,2d,sd,false,True,rectangular,282679954,191513.0,0,0.0
youtube#video,4ozk2rOpRespGoTUc5MCqQrqv_U,wCQv6YuSGeY,2023-04-29T16:00:43Z,UCVEvXfblll0OjxBE_I9YeOw,ÇAMURDA SAZAN BALIĞI PİŞİRME ? - Cooking Fish in primitive mud 🐟,"#fish #outdoorcooking #survival 
çamurda sazan balığı pişirme ilkel yöntemler
cooking fish in primitive mud

📌KANALA ABONE OL  ÜCRETSİZ  ➤➤ https://bit.ly/2YLToO1

📌İNSTAGRAM TAKİP ET  ➤➤ https://www.instagram.com/karadenizli...

📌Videoların devamı İçin videoları beğenerek kanala abone olursanız sevinirim herkese iyi seyirler.
📌Yeni yüklenen videolardan haberdar olmak için kanaldaki ZİL Butonuna tıklamanız yeterli.

Instagram : ➤ https://www.instagram.com/karadenizli.maceraci.","{'default': {'url': 'https://i.ytimg.com/vi/wCQv6YuSGeY/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/wCQv6YuSGeY/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/wCQv6YuSGeY/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/wCQv6YuSGeY/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/wCQv6YuSGeY/maxresdefault.jpg', 'width': 1280, 'height': 720}}",Karadenizli Maceracı,"['fish', 'fishing', 'food', 'cooking', 'adventures', 'balık', 'outdoorcooking', 'food videos', 'dog', 'survival', 'fish in the mud', 'çamurda balık pişirme', 'meatlovers', 'camp', 'camping', 'kamp', 'woods', 'forest', 'doğada yemek', 'yemek tarifleri', 'asmr', 'asmr videos', 'foodvideo', 'bushcraft', 'doğada yaşam', 'cookingadventures', 'camping food', 'eating in nature', 'nature', 'wild', 'natural', 'crunch', 'hungry', 'wilderness', 'campfire', 'fire', 'cooking fish in mud', 'fish meat', 'outdoor', 'outdoors', 'relax', 'foodporn', 'meat', 'doğada balık', 'fish in nature', 'cooking fish', 'yemek', 'doğal']",19,none,tr,PT1M,2d,hd,false,True,rectangular,270103317,9450336.0,0,22995.0
youtube#video,lNhWUVLdClG_UqSxs0A46z1zsEg,W8fW7arBAgE,2023-03-27T12:09:42Z,UCn2hc3_SsXUOH8E99Afl21g,"Beauty products, beauty secrets,skin care, natural cute look by JSA Beauty",,"{'default': {'url': 'https://i.ytimg.com/vi/W8fW7arBAgE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/W8fW7arBAgE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/W8fW7arBAgE/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/W8fW7arBAgE/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/W8fW7arBAgE/maxresdefault.jpg', 'width': 1280, 'height': 720}}",JSA Beauty ,,22,none,none,PT14S,2d,hd,false,False,rectangular,245200265,3873219.0,0,6636.0
youtube#video,1T7yo-gHZP39al6X0-DJrNn-B6M,x6WIaylMrmM,2023-06-22T20:59:08Z,UCwwZvHgUqj-dJXpIgZJIwyw,Halodayı (feat. Azer Bülbül) - Aman Güzel Yavaş Yürü (Official Video),"Aman güzel yavaş yürü ama
Çok güzelsin güldüğün zaman
Yapmıyorum sana hiç falan filan
Ara beni yaparız mutlaka plan

Nası dersen first date mi
Bilmem olabilir o ow meybi
Kanıma giriyosun tabi çok sevdin
Yanıma gelmelisin my baby
MAŞALLAH

40 bin kere söyledim a
Barikat kurdum cano yollarına
Ne benimle ne de yarınlarıma
Yandık baba sevda ocağında

Giden gider kalan kalır tabi
Yakmadım bunu içmedim bi şey
Tek bi kelime etmeden de çıktın
dikkat et güzel düşmeden yürü

*****************

5 kişi bi araba azer
Rakamın ne kaç para ya da papel
Esinti yapma lan neyine bedel
Aman diyim yavaş yürü matmazel

Yapmadım hiç bi şey okuma gazel
Gitmedim hiç işe sektörüm özel
Sana bi çift lafım var hele bi çömel
Harbiden dokuz kardeşe değer

HANİ DERMANIM
HANİ DERMANIM
BİZE YOL EYLE
DEME BELALIM
İKİ GÖZ VAR İKİSİDE DERMANIM
AZER BABA VALLA ZORDAYIM


Yapım: Barış Plak
Yapımcı: Suna İlgin & Kıran Niko İlgin & İbrahim Halil İlgin
Yapım Ortağı: Soy Yapım (Osman Yuvacı & Uğur Kalabaş)
Söz Müzik: Halil Öztürk – Murat Çobanoğlu
Prod By Pango
Genel Koordinatör: Oğulcan Nihat (Ogi)
Recording: Ayaz Kardeş
Mixing: Okan Çam
Mastering: Emrah Çelik
Yönetmen: Tahsin Güney
D.O.P: Yusufcan Güneş - İzzet Güneş
Prodüksiyon: Berk Çetik
Video Edit: Şahan Çulha
Color: Ozan Okay
Işık Şefi: Onur Karaca
Kamera Asistanı: Barlas Aslan
Cast : Hakan Ayvaz - Genç Casting
Klip Mekan: Mega Müzik
Dijital Pazarlama: Ferhat Erzurum

Halodayı, sevilen ve efsanevi sanatçı Azer Bülbül'ün proje albümünde yer alan ""Aman Güzel Yavaş Yürü"" isimli eseriyle müzik dünyasında unutulmaz bir buluşmaya imza atıyor.

Müzik dünyasının farklı tarzlarını harmanlayarak, çağdaş ve geleneksel müziği birleştiriyor. Barış Müzik tarafından yayınlanacak, düzenlemesi Pango tarafından yapılan ve sözleri ile müziği Halodayı ve Rahmetli Azer Bülbül tarafından kaleme alınan bu şarkı, sizleri kendine hayran bırakacak.

Bu özel proje, müzikseverlerin arayışında olduğu türden bir deneyim sunmayı hedefliyor. Hem rap müziğin enerjisini taşıyan Halodayı'nın yetenekleri hem de arabesk müziğin efsanevi ismi Azer Bülbül'ün benzersiz yorumuyla birleşen ""Aman Güzel Yavaş Yürü"", her iki sanatçının hayranları için unutulmaz bir anlam taşıyor.

#halodayı #amangüzelyavaşyürü #azerbülbül
#nerdesinpango #matmazel #5kişibirarabaazer
#5kişibirarabaazer","{'default': {'url': 'https://i.ytimg.com/vi/x6WIaylMrmM/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/x6WIaylMrmM/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/x6WIaylMrmM/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/x6WIaylMrmM/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/x6WIaylMrmM/maxresdefault.jpg', 'width': 1280, 'height': 720}}",Barış Müzik,"['halodayı', 'aman güze yavaş yürü', 'halodayı aman güzel yavaş yürü', 'azer Bülbül', 'Türkçe Rap', 'Arabesk', '2023', 'NKVT', 'Barış Müzik', 'Verse', 'Soy Yapım', 'Barış Plak', 'Tribute', 'azer bülbül', 'aman güzel yavaş yürü', 'agyy', 'amangüzelyavaşyürü', 'çok güzelsin güldüğün zaman', 'halo dayı', 'halodayıfeatazerbülbül', 'halo dayı feat azer bülbül', 'halo dayı feat azer bülbül aman güzel', 'azer bülbül aman güzel yavaş yürü', 'aman güzel', 'halodayı azer bülbül mix', 'halodayı azer bülbül', 'halodayı azer bülbül aman']",10,none,tr,PT2M30S,2d,hd,false,True,rectangular,212024201,470195.0,0,7711.0
youtube#video,EYOkaP-jqcf9588NYZl_rVGpajI,aHDh-ZI55YE,2023-05-15T11:42:04Z,UCN7hQOxb4JtoPCEApTiwwRg,فن وصناعات صب علي الرمال صهر المعادن جديد,,"{'default': {'url': 'https://i.ytimg.com/vi/aHDh-ZI55YE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/aHDh-ZI55YE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/aHDh-ZI55YE/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/aHDh-ZI55YE/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/aHDh-ZI55YE/maxresdefault.jpg', 'width': 1280, 'height': 720}}",Yn_ Rt,,22,none,none,PT22S,2d,hd,false,True,rectangular,184510955,2131222.0,0,5483.0
youtube#video,dZsbUiOH-BxbBGI-8XqSB-PTXbU,rex0t1X_TPo,2023-05-07T11:14:36Z,UCiVs2pnGW5mLIc1jS2nxhjg,물건을 줍는 방법,"#김프로 #유백합 #KIMPRO
🐯Contact🍀
DM : https://www.instagram.com/kimpro828/
E-mail : fm1778@naver.com","{'default': {'url': 'https://i.ytimg.com/vi/rex0t1X_TPo/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/rex0t1X_TPo/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/rex0t1X_TPo/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/rex0t1X_TPo/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/rex0t1X_TPo/maxresdefault.jpg', 'width': 1280, 'height': 720}}",김프로KIMPRO,"['김프로', 'kimpro', '김동준', '김프로유투브', '유투브김프로', '김동준유투브', '유백합', 'kkubi99', 'kkubi', '오케이팀', 'teamok', 'okteam', 'ok팀']",22,none,none,PT10S,2d,hd,false,True,rectangular,182438651,5958383.0,0,89190.0
youtube#video,jGzTwbfzMkUB9HLPbACkgOr8wds,naK7lJQcidA,2023-06-16T08:54:25Z,UC6gVx_vALsYT-z_u1djJbBQ,No One Waits for This End😂👻❤️ #shorts,,"{'default': {'url': 'https://i.ytimg.com/vi/naK7lJQcidA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/naK7lJQcidA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/naK7lJQcidA/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/naK7lJQcidA/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/naK7lJQcidA/maxresdefault.jpg', 'width': 1280, 'height': 720}}",BETER BÖCÜK,,24,none,none,PT1M1S,2d,hd,false,True,rectangular,181993170,6586390.0,0,21098.0
